States,Cuisine,Rating
SC,Latin American,3.92
QC,Soup,3.89
ON,Soup,3.54
NV,Soup,3.46
WI,Soup,3.27
AZ,Soup,3.46
PA,Soup,3.79
NC,Soup,3.31
IL,Soup,3.27
OH,Soup,3.51
SC,Soup,3.92
QC,Middle Eastern,3.63
ON,Middle Eastern,3.48
NV,Middle Eastern,3.89
WI,Middle Eastern,3.48
AZ,Middle Eastern,3.86
PA,Middle Eastern,4.29
NC,Middle Eastern,3.86
IL,Middle Eastern,3.39
OH,Middle Eastern,3.98
SC,Middle Eastern,4.09
QC,German,3.94
ON,German,3.81
NV,German,4.0
WI,German,0.0
AZ,German,3.82
PA,German,4.31
NC,German,4.3
IL,German,0.0
OH,German,4.35
SC,German,5.0
